fs, files, files.sec
xfs, 1370000, 1280.532979
xfs, 1380000, 1286.236024
xfs, 1390000, 1294.929089
xfs, 1400000, 1302.514797
xfs, 1410000, 1260.902614
xfs, 1420000, 1229.147207
xfs, 1430000, 1237.799529
xfs, 1440000, 1245.359510
xfs, 1450000, 1249.865220
xfs, 1460000, 1217.322980
xfs, 1470000, 1224.773987
xfs, 1480000, 1231.877157
xfs, 1490000, 1193.006726
xfs, 1500000, 1200.410895
xfs, 1510000, 1207.982309
xfs, 1520000, 1214.618771
xfs, 1530000, 1180.154283
xfs, 1540000, 1186.195642
xfs, 1550000, 1168.442474
xfs, 1560000, 1172.791891
xfs, 1570000, 1155.395205
xfs, 1580000, 1162.308190
xfs, 1590000, 1167.174423
xfs, 1600000, 1173.025904
xfs, 1610000, 1156.428730
xfs, 1620000, 1163.160204
xfs, 1630000, 1167.735450
xfs, 1640000, 1145.002763
xfs, 1650000, 1149.255315
xfs, 1660000, 1130.943823
xfs, 1670000, 1137.316756
xfs, 1680000, 1143.875982
xfs, 1690000, 1147.143840
xfs, 1700000, 1134.227577
xfs, 1710000, 1140.156769
xfs, 1720000, 1145.912284
xfs, 1730000, 1099.506074
xfs, 1740000, 1104.291880
xfs, 1750000, 1110.637587
xfs, 1760000, 1116.191438
xfs, 1770000, 1118.751759
xfs, 1780000, 1109.686450
xfs, 1790000, 1113.969239
xfs, 1800000, 1119.547966
xfs, 1810000, 1090.882211
xfs, 1820000, 1095.133732
xfs, 1830000, 1100.372031
xfs, 1840000, 1105.987020
xfs, 1850000, 1099.746726
xfs, 1860000, 1102.392786
xfs, 1870000, 1108.124706
xfs, 1880000, 1086.479471
xfs, 1890000, 1091.529703
xfs, 1900000, 1095.734579
xfs, 1910000, 1101.348920
xfs, 1920000, 1106.249750
xfs, 1930000, 1110.377020
xfs, 1940000, 1114.863427
xfs, 1950000, 1120.606223
xfs, 1960000, 1125.488769
xfs, 1970000, 1128.837793
xfs, 1980000, 1132.860297
xfs, 1990000, 1138.396702
xfs, 2000000, 1143.142509
xfs, 2010000, 1144.594772
xfs, 2020000, 1106.400697
xfs, 2030000, 1111.416452
xfs, 2040000, 1116.467132
xfs, 2050000, 1119.867347
xfs, 2060000, 1124.415744
xfs, 2070000, 1129.727048
xfs, 2080000, 1133.361639
xfs, 2090000, 1137.851797
xfs, 2100000, 1143.173659
xfs, 2110000, 1146.905357
xfs, 2120000, 1150.938476
xfs, 2130000, 1156.169446
xfs, 2140000, 1159.024657
xfs, 2150000, 1163.554691
xfs, 2160000, 1167.976302
xfs, 2170000, 1169.583157
xfs, 2180000, 1174.321361
xfs, 2190000, 1128.066031
xfs, 2200000, 1131.029892
xfs, 2210000, 1135.936510
xfs, 2220000, 1140.320839
xfs, 2230000, 1143.261396
xfs, 2240000, 1148.228092
xfs, 2250000, 1152.643849
xfs, 2260000, 1155.669047
xfs, 2270000, 1160.629823
xfs, 2280000, 1164.939439
xfs, 2290000, 1167.102930
xfs, 2300000, 1171.861016
xfs, 2310000, 1175.846709
xfs, 2320000, 1175.495826
xfs, 2330000, 1179.334458
xfs, 2340000, 1173.107400
xfs, 2350000, 1143.245318
xfs, 2360000, 1147.877938
xfs, 2370000, 1141.041195
xfs, 2380000, 1145.766359
xfs, 2390000, 1148.214488
xfs, 2400000, 1152.859241
xfs, 2410000, 1155.985858
xfs, 2420000, 1153.866711
xfs, 2430000, 1158.476199
xfs, 2440000, 1153.557059
xfs, 2450000, 1147.178212
xfs, 2460000, 1151.460396
xfs, 2470000, 1155.537260
xfs, 2480000, 1123.689868
xfs, 2490000, 1128.111163
xfs, 2500000, 1132.632571
xfs, 2510000, 1137.016847
xfs, 2520000, 1134.558597
xfs, 2530000, 1138.711269
xfs, 2540000, 1120.154784
xfs, 2550000, 1123.525764
xfs, 2560000, 1120.614651
xfs, 2570000, 1123.636497
xfs, 2580000, 1119.892193
xfs, 2590000, 1108.959647
xfs, 2600000, 1113.240066
xfs, 2610000, 1108.691075
xfs, 2620000, 1111.912916
xfs, 2630000, 1114.238561
xfs, 2640000, 1046.491861
xfs, 2650000, 997.546609
xfs, 2660000, 1001.108957
xfs, 2670000, 1004.751258
xfs, 2680000, 1008.392485
xfs, 2690000, 1011.103994
xfs, 2700000, 1014.361203
xfs, 2710000, 1017.620690
xfs, 2720000, 1020.744720
xfs, 2730000, 1024.009328
xfs, 2740000, 1001.285360
xfs, 2750000, 983.494271
xfs, 2760000, 986.995463
xfs, 2770000, 990.494071
xfs, 2780000, 993.387347
xfs, 2790000, 996.554470
xfs, 2800000, 999.654927
xfs, 2810000, 1002.747852
xfs, 2820000, 1005.583675
xfs, 2830000, 1008.891211
xfs, 2840000, 1011.835202
xfs, 2850000, 1014.798991
xfs, 2860000, 1017.919114
xfs, 2870000, 1020.853858
xfs, 2880000, 1023.889829
xfs, 2890000, 1026.370407
xfs, 2900000, 1029.788930
xfs, 2910000, 1033.178617
xfs, 2920000, 1035.219526
xfs, 2930000, 1037.879080
xfs, 2940000, 1040.466178
xfs, 2950000, 1042.928557
xfs, 2960000, 1020.077688

BetrFS-0.1, 10000, 20293.937389
BetrFS-0.1, 20000, 40439.414680
BetrFS-0.1, 30000, 26844.652679
BetrFS-0.1, 40000, 35792.485904
BetrFS-0.1, 50000, 26630.463439
BetrFS-0.1, 60000, 31580.975199
BetrFS-0.1, 70000, 32844.143279
BetrFS-0.1, 80000, 37468.286608
BetrFS-0.1, 90000, 27071.715682
BetrFS-0.1, 100000, 29817.457525
BetrFS-0.1, 110000, 30747.978111
